news_title,news_link,news_img_links
Pro Football Hall of Fame honors late John Facenda with Pete Rozelle Radio-Television Award,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmVzcG4uaW4vbmZsL3N0b3J5L18vaWQvMzE3MjY4NDIvcHJvLWZvb3RiYWxsLWhhbGwtZmFtZS1ob25vcnMtbGF0ZS1qb2huLWZhY2VuZGEtcGV0ZS1yb3plbGxlLXJhZGlvLXRlbGV2aXNpb24tYXdhcmTSAYwBaHR0cHM6Ly93d3cuZXNwbi5pbi9uZmwvc3RvcnkvXy9pZC8zMTcyNjg0Mi9wcm8tZm9vdGJhbGwtaGFsbC1mYW1lLWhvbm9ycy1sYXRlLWpvaG4tZmFjZW5kYS1wZXRlLXJvemVsbGUtcmFkaW8tdGVsZXZpc2lvbi1hd2FyZD9wbGF0Zm9ybT1hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh5.googleusercontent.com/proxy/FbDL01gqqx8gxfiWsvtWT5KWfFgS9RyqMYJavXq9XGLoT7CkRcDT6n2RAOcqUGxCo8s7mSHXZMhMi_pPNOmhYi5Arv81W6tfT1aXsIcFwpcKRPveduJP51VY9lfAoxCMzUyc=-p-df-h100-w100-rw
68 Days to Purdue Football: Cam Craig,https://news.google.com/./articles/CAIiEEReZFm_H3fZwJbU4ONj-b4qGQgEKhAIACoHCAowivuECzDxhIIDMKSFhQY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/3ibL9sJ6X4fZkBxVQTy6HSplt-eVscNxtlNbPrYa0Lu6UNkPi8PlLcuC2L1VHrVNpsue4bNG9LJwLYIme5o=-p-df-h100-w100-rw
"Czech Republic vs. England - Football Match Report - June 23, 2021",https://news.google.com/./articles/CBMiM2h0dHBzOi8vd3d3LmVzcG4uaW4vZm9vdGJhbGwvcmVwb3J0L18vZ2FtZUlkLzU2MDMxM9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh6.googleusercontent.com/proxy/aiuiaPXg2Ec3SGwnkIN0Dwgsl0qljgSrhGvH5n6lUJx8JEVabv_OKtslGJ0CEa1MQml86WlQY57TPLyo6VotkP8ZdHNVGNO_TlJR-Ff6zamS5Z9IyhajGZpz-lT9DDUdbTnwnGEVHI5khJfzO5ndGEpmZuA=-p-df-h100-w100-rw
"The greatest day ever of knockout football? Enthralling, breathless and what we all needed so much",https://news.google.com/./articles/CBMijAFodHRwczovL3RoZWF0aGxldGljLmNvbS8yNjc5MzEzLzIwMjEvMDYvMjkvdGhlLWdyZWF0ZXN0LWRheS1ldmVyLW9mLWtub2Nrb3V0LWZvb3RiYWxsLWVudGhyYWxsaW5nLWJyZWF0aGxlc3MtYW5kLXdoYXQtd2UtYWxsLW5lZWRlZC1zby1tdWNoL9IBkAFodHRwczovL3RoZWF0aGxldGljLmNvbS8yNjc5MzEzLzIwMjEvMDYvMjkvdGhlLWdyZWF0ZXN0LWRheS1ldmVyLW9mLWtub2Nrb3V0LWZvb3RiYWxsLWVudGhyYWxsaW5nLWJyZWF0aGxlc3MtYW5kLXdoYXQtd2UtYWxsLW5lZWRlZC1zby1tdWNoLz9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/proxy/7g7QNmxFQuMXPiEOX1X4nESH_wGI94mq9b7fqxHSKMVVylHn8Wv9qGfd_zzWpOTVw6DsU2Wic6GzAaGjX0RLhkKJDr_M0I0EKJfEABIKDCqMqN39HG7hL1_ZtgpHJFgYgd3WF4KJD3qJ_kCKprH3nmi0pw=-p-df-h100-w100-rw
Euro 2021: The tech startups changing football,https://news.google.com/./articles/CBMiM2h0dHBzOi8vc2lmdGVkLmV1L2FydGljbGVzL2V1cm8tMjAyMS10ZWNoLWZvb3RiYWxsL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/proxy/xSIk6uG7M-5f1R099z4NmHGPc22XetZupezdWgONlVLARr6FWYe0KBwNxKXixG4wkjABqB4JjDKIUyKxOA_xgh1slXHIrFtXhXFzkoMLCPWq8632Ajp6f7639ZRL9SDx4Gu2-JsByJZ6aWNpmQmTb8lds29CxxK8jNa45BqC2q8GLe6o6AnHYEUYqw=-p-df-h100-w100-rw
Justice DJ and producer Gaspard Augé on his 'epic' Euro 2020 theme song,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmJiYy5jby51ay9uZXdzL2VudGVydGFpbm1lbnQtYXJ0cy01NzU3ODczONIBOmh0dHBzOi8vd3d3LmJiYy5jby51ay9uZXdzL2VudGVydGFpbm1lbnQtYXJ0cy01NzU3ODczOC5hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh4.googleusercontent.com/proxy/4hfChUhWZedJdN36Und2gDYMpxH5tN6xd-SopFk4n6uwC-jV55UEjrQZCbTWwRSivYcWH5ndomCXzGRKQg-ZlAfeOO--X4EY0SaLVhByHMWjpLjVPKbRFn-Uzxa7udWmYLwd9c0-HSBRdOS_EwXP7wj83MYiwA=-p-df-h100-w100-rw
Only two men in international football have 109 goals: Numbers from Ronaldo’s record-equalling feat,https://news.google.com/./articles/CBMigAFodHRwczovL3Njcm9sbC5pbi9maWVsZC85OTgzNTQvb25seS10d28tbWVuLWluLWludGVybmF0aW9uYWwtZm9vdGJhbGwtaGF2ZS0xMDktZ29hbHMtbnVtYmVycy1mcm9tLXJvbmFsZG9zLXJlY29yZC1lcXVhbGxpbmctZmVhdNIBhAFodHRwczovL2FtcC5zY3JvbGwuaW4vZmllbGQvOTk4MzU0L29ubHktdHdvLW1lbi1pbi1pbnRlcm5hdGlvbmFsLWZvb3RiYWxsLWhhdmUtMTA5LWdvYWxzLW51bWJlcnMtZnJvbS1yb25hbGRvcy1yZWNvcmQtZXF1YWxsaW5nLWZlYXQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/proxy/hDGCdSN7JKGN1XXeaeWzxk7aARDkLDdJ_-kBHFTeVSK3jC9ChiUwU1eufvb0P1daChFxYjl7QwFrYeBXhTfk1msKfJ0K0K5w1uN_3OFwtwO27C8PDmlzM4DDnuRqyfZp58U52mlii9GGLK16q0iR=-p-df-h100-w100-rw
Danish demolition sees Wales wave goodbye – Euro 2020 Football Daily,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9mb290YmFsbC9hdWRpby8yMDIxL2p1bi8yNy9kYW5pc2gtZGVtb2xpdGlvbi1zZWVzLXdhbGVzLXdhdmUtZ29vZGJ5ZS1ldXJvLTIwMjAtZm9vdGJhbGwtZGFpbHnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh4.googleusercontent.com/proxy/oMPGE9992HpbNq2BBhdNNQEj0zE6sJah7N1e2x4Wg2Lmwww07B90vxflifdNxjxEmM23xl3uJzgGh9x-5yObDVa5mXD-T2xJnYGS83aA8eGqk45YRmgP_XgRKHytfef3-jCgvhZDRTOCs0S_QkjzXx59_xVJYWUEB7WPT_9aDE_VQfNG2A2ICuPazykbtjVwL-1DWD7dy8zz8MJ5Cng5X0r65zYA7Nq3-H4Ig2tCwlyhIkVXZunjZygfu-xTIluxG-K-6ntMtqsNeOI7BJvYyjBwNueWwl0c5c35xnBDp90Eajow1JsRbYqo2rc7U8QRo_I2UFkVVtAvLRw0FLFsImDyAerXre6HxJgL5_un98-Nox73qAv95NpJVCgt7ptAbjhVxLfzvg9iSUGWoyY8UuBvsEcAZ39CM5WbGTkPt7DBUBVqZ323XKt3_2fI6-zq96mLjXf4GA8=-p-df-h100-w100-rw
‘Eriksen incident showed how football can unify the world’,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9zcG9ydC9mb290YmFsbC9lcmlrc2VuLWluY2lkZW50LXNob3dlZC1ob3ctZm9vdGJhbGwtY2FuLXVuaWZ5LXRoZS13b3JsZC9hcnRpY2xlMzQ5ODE2NzEuZWNl0gF5aHR0cHM6Ly93d3cudGhlaGluZHUuY29tL3Nwb3J0L2Zvb3RiYWxsL2VyaWtzZW4taW5jaWRlbnQtc2hvd2VkLWhvdy1mb290YmFsbC1jYW4tdW5pZnktdGhlLXdvcmxkL2FydGljbGUzNDk4MTY3MS5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh4.googleusercontent.com/proxy/oY7OKUfLvntfTzGGaEtsuEM74ITW2zomRL58SM-tEqeiUihFTp0MNpqGRVskbXHPPtyJpD6EFYW0pfjJ4kmDWwnI4US04Ak6K2wDHtrilwLXJIzCn4vTaLzAIpeKy7UvkogIM4uCxIiJKFPDv9thU6ph1ioN6Y90fqaWpIeXfWvaWb8=-p-df-h100-w100-rw
"Germany vs Hungary Highlights, Euro 2020 Football Updates: Germany through to R16 after 2-2 draw with Hungary",https://news.google.com/./articles/CAIiECB1WCeXV-0sxtyBMdNozxYqFggEKg4IACoGCAoww7k_MMevCDD4gD0?uo=CAUivwFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vc3BvcnRzL2Zvb3RiYWxsL2dlcm1hbnktdnMtaHVuZ2FyeS1saXZlLXNjb3JlLWV1cm8tMjAyMC1mb290YmFsbC11cGRhdGVzLWNhbi1odW5nYXJ5LWJlYXQtMjAxNC13b3JsZC1jaGFtcGlvbnMtZ2VybWFueS10by1jYXVzZS1tYWpvci11cHNldC0xMDE2MjQ0NTIwNjUxNjQuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/nttYBhDyb9N0pJf7J-poyEGZuS837jHdtqDgBq_v_w5Z4k7t9NqKtB8MOXmQakImKAAXiXDlEjoUw94LxSU=-p-df-h100-w100-rw
